Address,Price,Sold Date,Agent Phone
"1005 SCRAMBLERS KNOB, Unincorporated (000), TN","$36,000",2025-12-15,N/A
"1024 VAUGHN CREST DR, Unincorporated (000), TN","$11,113",2025-12-04,N/A
"105 TELFAIR LN, Nolensville (535), TN","$2,000",2025-12-02,N/A
"1219 BEECH HILL, Unincorporated (000), TN",N/A,2025-10-14,N/A
"1309 SAWYER BEND CIR, Unincorporated (000), TN","$16,000",2025-10-16,N/A
"1532 BUNBURY DR, Spring Hill (701), TN","$53,000",2025-10-30,N/A
"1589 BIRCHWOOD CIR, Franklin (263264), TN","$55,000",2025-11-14,N/A
"1800 GREY POINTE DR, Brentwood (086), TN",N/A,2025-11-17,N/A
"1801 HAVEN ROCK RD, Thompson's Station (718), TN","$14,000",2025-11-17,N/A
"1804 HAVEN ROCK (PVT) RD, Thompson's Station (718), TN","$16,000",2025-11-17,N/A
"1853 PAGEANTRY CIR, Brentwood (086), TN","$106,000",2025-11-07,N/A
"1401 WESTHAVEN BLVD, Franklin (263967), TN","$822,000",2025-10-15,N/A
"6069 PASQUO RD, Unincorporated (000), TN","$714,000",2025-11-12,N/A
"203 BEASLEY DR, Franklin (263264), TN","$20,000 & $21,000",2025-11-26,N/A
"2756 OTTERHAM DR, Thompson's Station (718), TN","$113,000",2025-10-16,N/A
"2 CARMEL LN, Brentwood (086), TN","$30,000",2025-10-28,N/A
"9728 CONCORD RD, Brentwood (086), TN",N/A,2025-11-24,N/A
"1009 WINDCROSS CT, Franklin (263264), TN",N/A,2025-10-28,N/A
"310 RIVER OAKS RD, Brentwood (086), TN","$79,000",2025-12-03,N/A
"3208 BOYD MILL PK, Unincorporated (000), TN",TR2,2025-11-10,N/A
"3720 GREY BARN PVT LN, Unincorporated (000), TN","$4,000",2025-11-25,N/A
"4383 N CHAPEL RD, Unincorporated (000), TN","$2,000",2025-10-30,N/A
"509 DOUBLEDAY LN, Brentwood (086), TN","$3,000",2025-10-27,N/A
"5210 OLD HARDING RD, Unincorporated (000), TN",N/A,2025-12-01,N/A
"6001 YATES PVT CT, Nolensville (535), TN",N/A,2025-12-02,N/A
"6005 BELLE RIVE DR, Brentwood (086), TN","$57,000",2025-11-20,N/A
"6220 MURRAY LN, Brentwood (086), TN",10-A,2025-10-14,N/A
"673 LEGENDS CREST DR, Unincorporated (000), TN","$607,000",2025-11-13,N/A
"7108 GREGORY CT, Fairview (255), TN","$36,000",2025-11-10,N/A
"1867 BARNSTAPLE LN, Brentwood (086), TN","$233,000",2025-12-10,N/A
"1011 MURFREESBORO RD #D-3, Franklin (263264), TN",D-3,2025-10-16,N/A
"101 SOUTHEAST PKWY CT #200, Franklin (263967), TN","$7,000",2025-12-18,N/A
"7236 FAIRLAWN DR, Fairview (255), TN","$8,000",2025-12-18,N/A
"7220 FAIRLAWN DR, Fairview (255), TN","$4,000",2025-12-18,N/A
"7215 FAIRLAWN DR, Fairview (255), TN","$45,000",2025-12-18,N/A
"2585 DOUGLAS LN, Spring Hill (701), TN","$195,000",2025-12-11,N/A
"311 DEEP CREEK DR, Spring Hill (701), TN","$151,000",2025-10-23,N/A
"7148 MAPLESIDE LN, Fairview (255), TN","$21,000",2025-10-22,N/A
"8313 BRIDLE PL, Brentwood (086), TN","$47,000",2025-10-28,N/A
"2035 RODERICK CIR, Franklin (263264), TN","$18,000",2025-10-30,N/A
"780 OAK MEADOW DR, Franklin (263264), TN",N/A,2025-11-21,N/A
"548 MIDWAY CIR, Brentwood (086), TN","$81,000",2025-10-15,N/A
"2004 VAIL TR, Nolensville (535), TN","$32,000",2025-12-01,N/A
"1528 BUNBURY DR, Spring Hill (701), TN","$55,000",2025-11-20,N/A
